codigo;nome;preco;imagem;link
"BOM-5663";"ADAPTADOR 1/2 P/ MANDRIL ENCAIXE SDS PLUS 14MM MARTELETE";"R$ 3,60";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_500001-580x435.PNG?version=2025093016103004122024082524";"https://camargoebarros.futurasistemas.com.br/3505-ADAPTADOR-1-2-P-MANDRIL-ENCAIXE-SDS-PLUS-14MM-MARTELETE-BOM-5663"
"SR1183";"MINI MOTOSSERRA 6", APARADOR DE GRAMA, SOPADOR E TESOURA DE PODA C/ 2 BATERIA 21V";"R$ 550,00";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_567201-580x435.JPG?version=2026052210210904122024082524";"https://camargoebarros.futurasistemas.com.br/3984-MINI-MOTOSSERRA-6--APARADOR-DE-GRAMA-SOPADOR-E-TESOURA-DE-PODA-C-2-BATERIA-21V-SR1183"
"SR1224";"PA DE BICO CABO DE MADEIRA 26" STARTOOLS";"R$ 29,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_563001-580x435.JPG?version=2026041316590904122024082524";"https://camargoebarros.futurasistemas.com.br/3940-PA-DE-BICO-CABO-DE-MADEIRA-26--STARTOOLS-SR1224"
"SR1223";"PA QUADRADO CABO DE MADEIRA 26" STARTOOLS";"R$ 29,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_562901-580x435.JPG?version=2026041316590404122024082524";"https://camargoebarros.futurasistemas.com.br/3939-PA-QUADRADO-CABO-DE-MADEIRA-26--STARTOOLS-SR1223"
"BOM-9908";"PARAFUSADEIRA KIT OFICINA 12V C/2 BATERIAS";"R$ 395,00";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_456601-580x435.PNG?version=2025012013191704122024082524";"https://camargoebarros.futurasistemas.com.br/3201-PARAFUSADEIRA-KIT-OFICINA-12V-C-2-BATERIAS-BOM-9908"
"OAQ";"PEGADOR DE PEÇAS COM IMÃ E LOCALIZADOR DE PEÇAS COM ESPELHO EDA";"R$ 21,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_466701-580x435.PNG?version=2024121313173904122024082524";"https://camargoebarros.futurasistemas.com.br/3266-PEGADOR-DE-PECAS-COM-IMA-E-LOCALIZADOR-DE-PECAS-COM-ESPELHO-EDA-OAQ"
"BOM-2711";"ABRAÇADEIRA DE AÇO COM 8 PCS";"R$ 5,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_472601-580x435.PNG?version=2025011719012604122024082524";"https://camargoebarros.futurasistemas.com.br/3311-ABRACADEIRA-DE-ACO-COM-8-PCS-BOM-2711"
"AR0258";"ABRAÇADEIRA DE AÇO INOX 10X16 MM ALEMÃO PACOTE C/ 100 PCS STARTOOLS";"R$ 69,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_394501-580x435.PNG?version=2025032713121604122024082524";"https://camargoebarros.futurasistemas.com.br/2767-ABRACADEIRA-DE-ACO-INOX-10X16-MM-ALEMAO-PACOTE-C-100-PCS-STARTOOLS-AR0258"
"AR0261";"ABRAÇADEIRA DE AÇO INOX 10X16 MM AMERICA BORBOLETA PACOTE C/ 100 PCS STARTOOLS";"R$ 54,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_394201-580x435.PNG?version=2025032713164504122024082524";"https://camargoebarros.futurasistemas.com.br/2764-ABRACADEIRA-DE-ACO-INOX-10X16-MM-AMERICA-BORBOLETA-PACOTE-C-100-PCS-STARTOOLS-AR0261"
"AR0255";"ABRAÇADEIRA DE AÇO INOX 10X16 MM AMERICANO PACOTE C/ 100 PCS STARTOOLS";"R$ 31,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_394401-580x435.PNG?version=2026011917541104122024082524";"https://camargoebarros.futurasistemas.com.br/2766-ABRACADEIRA-DE-ACO-INOX-10X16-MM-AMERICANO-PACOTE-C-100-PCS-STARTOOLS-AR0255"
